Kecamatan,Laki-laki (L) - Negeri,Laki-laki (L) - Swasta,Laki-laki (L) - Subjml,Perempuan (P) - Negeri,Perempuan (P) - Swasta,Perempuan (P) - Subjml,Laki-laki dan Perempuan - Negeri,Laki-laki dan Perempuan - Swasta,Laki-laki dan Perempuan - Jumlah
Kec. Natar,16,16,32,20,9,29,36,25,61
Kec. Jati Agung,2,1,3,1,0,1,3,1,4
Kec. Tanjung Bintang,0,0,0,2,0,2,2,0,2
Kec. Katibung,7,0,7,4,1,5,11,1,12
Kec. Sidomulyo,0,0,0,4,0,4,4,0,4
Kec. Palas,2,0,2,2,0,2,4,0,4
Kec. Penengahan,16,0,16,11,0,11,27,0,27
Kec. Merbau Mataram,3,0,3,0,0,0,3,0,3
Kec. Candipuro,1,0,1,0,0,0,1,0,1
Kec. Rajabasa,2,0,2,1,0,1,3,0,3
Kec. Sragi,1,0,1,0,0,0,1,0,1
Kec. Ketapang,2,0,2,2,0,2,4,0,4
Kec. Bakauheni,1,0,1,4,0,4,5,0,5
Kec. Tanjung Sari,2,0,2,2,0,2,4,0,4
Kec. Way Sulan,3,0,3,0,0,0,3,0,3
Kec. Way Panji,10,0,10,12,0,12,22,0,22
Kec. Kalianda,6,0,6,6,0,6,12,0,12
